date_id,day,month,year,quarter
1,4,1,2016,1
2,11,1,2016,1
3,18,1,2016,1
4,25,1,2016,1
5,1,2,2016,1
6,2,2,2016,1
7,3,2,2016,1
8,4,2,2016,1
9,5,2,2016,1
10,6,2,2016,1
11,8,2,2016,1
12,15,2,2016,1
13,22,2,2016,1
14,29,2,2016,1
15,4,3,2016,1
16,7,3,2016,1
17,14,3,2016,1
18,21,3,2016,1
19,28,3,2016,1
20,4,4,2016,2
21,11,4,2016,2
22,12,4,2016,2
23,13,4,2016,2
24,14,4,2016,2
25,15,4,2016,2
26,16,4,2016,2
27,18,4,2016,2
28,25,4,2016,2
29,2,5,2016,2
30,9,5,2016,2
31,16,5,2016,2
32,23,5,2016,2
33,30,5,2016,2
34,6,6,2016,2
35,13,6,2016,2
36,20,6,2016,2
37,27,6,2016,2
38,4,7,2016,3
39,11,7,2016,3
40,15,7,2016,3
41,18,7,2016,3
42,25,7,2016,3
43,1,8,2016,3
44,8,8,2016,3
45,15,8,2016,3
46,22,8,2016,3
47,29,8,2016,3
48,5,9,2016,3
49,12,9,2016,3
50,16,9,2016,3
51,19,9,2016,3
52,26,9,2016,3
53,3,10,2016,4
54,10,10,2016,4
55,17,10,2016,4
56,24,10,2016,4
57,31,10,2016,4
58,7,11,2016,4
59,12,11,2016,4
60,14,11,2016,4
61,21,11,2016,4
62,25,11,2016,4
63,28,11,2016,4
64,5,12,2016,4
65,12,12,2016,4
66,19,12,2016,4
67,2,1,2017,1
68,9,1,2017,1
69,16,1,2017,1
70,23,1,2017,1
71,30,1,2017,1
72,3,2,2017,1
73,6,2,2017,1
74,9,2,2017,1
75,10,2,2017,1
76,11,2,2017,1
77,13,2,2017,1
78,17,2,2017,1
79,20,2,2017,1
80,27,2,2017,1
81,6,3,2017,1
82,13,3,2017,1
83,20,3,2017,1
84,27,3,2017,1
85,3,4,2017,2
86,7,4,2017,2
87,10,4,2017,2
88,17,4,2017,2
89,21,4,2017,2
90,22,4,2017,2
91,24,4,2017,2
92,1,5,2017,2
93,8,5,2017,2
94,15,5,2017,2
95,22,5,2017,2
96,29,5,2017,2
97,5,6,2017,2
98,12,6,2017,2
99,19,6,2017,2
100,26,6,2017,2
101,3,7,2017,3
102,10,7,2017,3
103,17,7,2017,3
104,19,7,2017,3
105,20,7,2017,3
106,21,7,2017,3
107,22,7,2017,3
