day,month,year,quarter
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
31,12,2018,4
