country_ioc,continent,language
TPE,AS,"zh-TW,zh,nan,hak"
ALG,AF,ar-DZ
AND,EU,ca
ANT,NA,en-AG
ARG,SA,"es-AR,en,it,de,fr,gn"
ARM,AS,hy
AUS,OC,en-AU
AUT,EU,"de-AT,hr,hu,sl"
AZE,AS,"az,ru,hy"
BAH,NA,en-BS
BRN,AS,"ar-BH,en,fa,ur"
BAN,AS,"bn-BD,en"
BAR,NA,en-BB
BLR,EU,"be,ru"
BEL,EU,"nl-BE,fr-BE,de-BE"
BEN,AF,fr-BJ
BER,NA,"en-BM,pt"
BOL,SA,"es-BO,qu,ay"
AHO,NA,"nl,pap,en"
BIH,EU,"bs,hr-BA,sr-BA"
BOT,AF,"en-BW,tn-BW"
BRA,SA,"pt-BR,es,en,fr"
BUL,EU,"bg,tr-BG,rom"
BDI,AF,"fr-BI,rn"
CAM,AS,"km,fr,en"
CMR,AF,"en-CM,fr-CM"
CAN,NA,"en-CA,fr-CA,iu"
CHI,SA,es-CL
CHN,AS,"zh-CN,yue,wuu,dta,ug,za"
HKG,AS,"zh-HK,yue,zh,en"
COL,SA,es-CO
CRC,NA,"es-CR,en"
CRO,EU,"hr-HR,sr"
CUB,NA,"es-CU,pap"
CYP,EU,"el-CY,tr-CY,en"
CZE,EU,"cs,sk"
COD,AF,"fr-CD,ln,ktu,kg,sw,lua"
DEN,EU,"da-DK,en,fo,de-DK"
DOM,NA,es-DO
ECU,SA,es-EC
EGY,AF,"ar-EG,en,fr"
ESA,NA,es-SV
ERI,AF,"aa-ER,ar,tig,kun,ti-ER"
EST,EU,"et,ru"
FIN,EU,"fi-FI,sv-FI,smn"
FRA,EU,"fr-FR,frp,br,co,ca,eu,oc"
GAB,AF,fr-GA
GEO,AS,"ka,ru,hy,az"
GER,EU,de
GHA,AF,"en-GH,ak,ee,tw"
GRE,EU,"el-GR,en,fr"
GRN,NA,en-GD
GUD,NA,fr-GP
GUM,OC,"en-GU,ch-GU"
GUA,NA,es-GT
HAI,NA,"ht,fr-HT"
HON,NA,"es-HN,cab,miq"
HUN,EU,hu-HU
IND,AS,"en-IN,hi,bn,te,mr,ta,ur,gu,kn,ml,or,pa,as,bh,sat,ks,ne,sd,kok,doi,mni,sit,sa,fr,lus,inc"
INA,AS,"id,en,nl,jv"
IRI,AS,"fa-IR,ku"
IRL,EU,"en-IE,ga-IE"
ISR,AS,"he,ar-IL,en-IL,"
ITA,EU,"it-IT,de-IT,fr-IT,sc,ca,co,sl"
JAM,NA,en-JM
JPN,AS,ja
JOR,AS,"ar-JO,en"
KAZ,AS,"kk,ru"
KEN,AF,"en-KE,sw-KE"
KUW,AS,"ar-KW,en"
KGZ,AS,"ky,uz,ru"
LAT,EU,"lv,ru,lt"
LIB,AS,"ar-LB,fr-LB,en,hy"
LBA,AF,"ar-LY,it,en"
LIE,EU,de-LI
LTU,EU,"lt,ru,pl"
LUX,EU,"lb,de-LU,fr-LU"
MAD,AF,"fr-MG,mg"
MAS,AS,"ms-MY,en,zh,ta,te,ml,pa,th"
MLT,EU,"mt,en-MT"
MRI,AF,"en-MU,bho,fr"
MEX,NA,es-MX
MON,EU,"fr-MC,en,it"
MGL,AS,"mn,ru"
MAR,AF,"ar-MA,ber,fr"
NAM,AF,"en-NA,af,de,hz,naq"
NED,EU,"nl-NL,fy-NL"
NZL,OC,"en-NZ,mi"
NGR,AF,"en-NG,ha,yo,ig,ff"
NOR,EU,"no,nb,nn,se,fi"
OMA,AS,"ar-OM,en,bal,ur"
PAK,AS,"ur-PK,en-PK,pa,sd,ps,brh"
PAN,NA,"es-PA,en"
PNG,OC,"en-PG,ho,meu,tpi"
PAR,SA,"es-PY,gn"
PER,SA,"es-PE,qu,ay"
PHI,AS,"tl,en-PH,fil,ceb,tgl,ilo,hil,war,pam,bik,bcl,pag,mrw,tsg,mdh,cbk,krj,sgd,msb,akl,ibg,yka,mta,abx"
POL,EU,pl
POR,EU,"pt-PT,mwl"
PUR,NA,"en-PR,es-PR"
QAT,AS,"ar-QA,es"
KOR,AS,"ko-KR,en"
MDA,EU,"ro,ru,gag,tr"
ROU,EU,"ro,hu,rom"
RUS,EU,"ru,tt,xal,cau,ady,kv,ce,tyv,cv,udm,tut,mns,bua,myv,mdf,chm,ba,inh,tut,kbd,krc,av,sah,nog"
REU,AF,fr-RE
VIN,NA,"en-VC,fr"
SAM,OC,"sm,en-WS"
SMR,EU,it-SM
SRB,EU,"sr,hu,bs,rom"
SIN,AS,"cmn,en-SG,ms-SG,ta-SG,zh-SG"
SVK,EU,"sk,hu"
SLO,EU,"sl,sh"
RSA,AF,"zu,xh,af,nso,en-ZA,tn,st,ts,ss,ve,nr"
ESP,EU,"es-ES,ca,gl,eu,oc"
SRI,AS,"si,ta,en"
SWE,EU,"sv-SE,se,sma,fi-SE"
SUI,EU,"de-CH,fr-CH,it-CH,rm"
